"ONDERWIJSBESTUURID","ONDERWIJSBESTUUR_NAAM","ONDERWIJSAANBIEDERID","ONDERWIJSAANBIEDER_NAAM","SOORT","OPLEIDINGSEENHEIDCODE","ERKENDEOPLEIDINGSCODE","VARIANT_VAN","ERKENNER","NAAM_LANG","INTERNATIONALE_NAAM","BEGINDATUM","EINDDATUM","NIVEAU","GRAAD","STUDIELAST","EQF","ISCED","NLQF","WAARDEDOCUMENTSOORT","PENVOERDER","EIGENNAAM","EIGENNAAM_DUITS","EIGENNAAM_ENGELS","VORM","VOERTAAL","AANGEBODEN_OPLEIDING_BEGINDATUM","AANGEBODEN_OPLEIDING_EINDDATUM","EERSTE_INSTROOMDATUM","LAATSTE_INSTROOMDATUM","WEBSITE","SAMENWERKEND_MET","BUITENLANDSEPARTNER","DEFICIENTIE","EISEN_WERKZAAMHEDEN","PROPEDEUTISCHE_FASE","STUDIEKEUZECHECK","VERSNELD_TRAJECT","AANGEBODEN_OPLEIDINGCODE","EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL","ONDERWIJSLOCATIECODE","ONDERWIJSLOCATIESTRAAT","ONDERWIJSLOCATIEPLAATS","OMSCHRIJVING"
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2783","34035",,"NVAO","Bedrijfskunde","Business Administration",2018-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/bedrijfskunde-deeltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"21e53863-eb1b-495e-a7ee-ee11d79a2d23",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2783","34035",,"NVAO","Bedrijfskunde","Business Administration",2018-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/bedrijfskunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"4fa2c0ef-c167-4389-9a57-1d1897aed227",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2809","34040",,"NVAO","Sportkunde","Sport Studies",2017-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","B Sportkunde",,"B Sport Studies","VOLTIJD","NLD",2017-09-01,,2017-09-01,,"https://hz.nl/opleidingen/sportkunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"44a32f26-8eac-43da-b9b0-24328a967d01",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2922","34116",,"NVAO","Social Work","Social Work",2012-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2012-09-01,,2012-09-01,,"https://hz.nl/opleidingen/social-work-deeltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"7930c4d9-22f9-4ef6-bccf-e21b8d0da51f",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2922","34116",,"NVAO","Social Work","Social Work",2012-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DUAAL","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/social-work-voltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"c5ce91a6-3f7d-4073-b23b-3b10717dea17",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O2922","34116",,"NVAO","Social Work","Social Work",2012-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2012-09-01,,2012-09-01,,"https://hz.nl/opleidingen/social-work-voltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"241bffc8-daa4-47b7-bddd-64ea1d372812",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3049","34263",,"NVAO","Bouwkunde","Architecture and Construction Engineering",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/bouwkunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"621a19d9-f8f9-4f5f-b5d3-58efe6f974ca",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3289","34384",,"NVAO","Maritiem Officier","Maritime Officer",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","B Maritime Officier",,"B Maritime Officer","VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/maritiem-officier",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"2e48e97d-70ee-45d8-b594-75008973b02a",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3311","34390",,"NVAO","Logistics Engineering","Logistics Engineering",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/logistics-engineering",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"e18c851b-356a-4581-b5ec-d0cecca36ac2",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3331","34396",,"NVAO","Chemie","Chemistry",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","ENG",2023-02-01,,2023-02-01,,"https://hz.nl/opleidingen/chemie",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK","VERSNELD_TRAJECT","72d1b8bb-e1de-4db5-a3cd-16f36bde81fb",,"113X626","Het Groene Woud","Middelburg",
